"","name","usage","count","Type1","Type2","bst","hp","atk","def","spatk","spdef","spd","mult_Grass","mult_Normal","mult_Water","mult_Dragon","mult_Electric","mult_Fighting","mult_Poison","mult_Fire","mult_Bug","mult_Ice","mult_Psychic","mult_Ghost","mult_Dark","mult_Flying","mult_Rock","mult_Steel","mult_Fairy","mult_Ground","pivot","hazard_control","hazard","total"
"142","Flareon",0.125187142857143,33727,"Fire","",525,65,130,60,95,110,65,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"143","Fletchinder",0.00296,653,"Fire","Flying",382,62,73,55,56,52,84,0.25,1,2,1,2,0.5,1,0.5,0.25,1,1,1,1,1,4,0.5,0.5,0,"1","1","0",27120200
"144","Fletchling",0.00141142857142857,361,"Normal","Flying",278,45,50,43,40,38,62,0.5,1,1,1,2,1,1,1,0.5,2,1,0,1,1,2,1,1,0,"1","1","0",27120200
"145","Flittle",0.0157714285714286,3689,"Psychic","",255,30,35,30,55,30,75,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"1","0","0",27120200
"146","Floatzel",1.93924428571429,487302,"Water","",495,85,105,55,85,50,115,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"147","Floette",0.00168571428571429,420,"Fairy","",371,54,45,47,75,98,52,1,1,1,0,1,0.5,2,1,0.5,1,1,1,0.5,1,1,2,1,1,"0","0","0",27120200
"148","Floragato",0.00844571428571429,2526,"Grass","",410,61,80,63,60,63,83,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"1","0","0",27120200
"149","Florges",0.390651428571429,110992,"Fairy","",552,78,65,68,112,154,75,1,1,1,0,1,0.5,2,1,0.5,1,1,1,0.5,1,1,2,1,1,"0","0","0",27120200
"150","Flutter Mane",11.4282,578572,"Ghost","Fairy",570,55,55,55,135,135,135,1,0,1,0,1,0,1,1,0.25,1,1,2,1,1,1,2,1,1,"0","0","0",27120200
"151","Fomantis",0.000384285714285714,99,"Grass","",250,40,55,35,50,35,35,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","1","0",27120200
"152","Foongus",0.00231428571428571,578,"Grass","Poison",294,69,55,45,55,55,15,0.25,1,0.5,1,0.5,0.5,1,2,1,2,2,1,1,2,1,1,0.5,1,"0","0","0",27120200
"153","Forretress",1.02010428571429,286020,"Bug","Steel",465,75,90,140,60,60,40,0.25,0.5,1,0.5,1,1,0,4,0.5,0.5,0.5,1,1,1,1,0.5,0.5,1,"1","1","1",27120200
"154","Fraxure",0.00476714285714286,1127,"Dragon","",410,66,117,70,40,50,67,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"155","Frigibax",0.000834285714285714,217,"Dragon","Ice",320,65,75,45,35,45,55,0.5,1,0.5,2,0.5,2,1,1,1,1,1,1,1,1,2,2,2,1,"0","0","0",27120200
"156","Froakie",0.00179,244,"Water","",314,41,56,40,62,44,71,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","1",27120200
"157","Frogadier",0.009612,1352,"Water","",405,54,63,52,83,56,97,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","1",27120200
"158","Froslass",0.255474285714286,71118,"Ice","Ghost",480,70,80,70,80,70,110,1,0,1,1,1,0,0.5,2,0.5,0.5,1,2,2,1,2,2,1,1,"0","0","1",27120200
"159","Frosmoth",0.463192857142857,131134,"Ice","Bug",475,70,65,60,125,90,65,0.5,1,1,1,1,1,1,4,1,0.5,1,1,1,2,4,2,1,0.5,"1","1","0",27120200
"160","Fuecoco",0.00580285714285714,1612,"Fire","",310,67,45,59,63,40,36,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"161","Gabite",0.00548285714285714,1295,"Dragon","Ground",410,68,90,65,50,55,82,1,1,1,2,0,1,0.5,0.5,1,4,1,1,1,1,0.5,1,2,1,"0","0","1",27120200
"162","Gallade",1.46106571428571,395362,"Psychic","Fighting",518,68,125,65,65,115,80,1,1,1,1,1,0.5,1,1,1,1,1,2,1,2,0.5,1,2,1,"0","0","0",27120200
"163","Garchomp",9.65068285714286,2615783,"Dragon","Ground",600,108,130,95,80,85,102,1,1,1,2,0,1,0.5,0.5,1,4,1,1,1,1,0.5,1,2,1,"0","0","1",27120200
"164","Gardevoir",0.825914285714286,222126,"Psychic","Fairy",518,68,65,65,125,115,80,1,1,1,0,1,0.25,2,1,1,1,0.5,2,1,1,1,2,1,1,"0","0","0",27120200
"165","Garganacl",13.57337,3593843,"Rock","",500,100,100,130,45,90,35,2,0.5,2,1,1,2,0.5,0.5,1,1,1,1,1,0.5,1,2,1,2,"0","0","1",27120200
"166","Gastly",0.00503285714285714,1210,"Ghost","Poison",310,30,35,30,100,35,80,0.5,0,1,1,1,0,0.25,1,0.25,1,2,2,2,1,1,1,0.5,2,"0","0","0",27120200
"167","Gastrodon",1.23255285714286,317605,"Water","Ground",475,111,83,68,92,82,39,4,1,1,1,0,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,1,1,"0","0","1",27120200
"168","Gengar",1.54305,399282,"Ghost","Poison",500,60,65,60,130,75,110,0.5,0,1,1,1,0,0.25,1,0.25,1,2,2,2,1,1,1,0.5,2,"0","0","1",27120200
"169","Gholdengo",27.7122514285714,7755341,"Steel","Ghost",550,87,60,95,133,91,84,0.5,0,1,0.5,1,0,0,2,0.25,0.5,0.5,2,2,0.5,0.5,0.5,0.5,2,"0","0","0",27120200
"170","Gible",0.00116285714285714,331,"Dragon","Ground",300,58,70,45,40,45,42,1,1,1,2,0,1,0.5,0.5,1,4,1,1,1,1,0.5,1,2,1,"0","0","1",27120200
"171","Gimmighoul",0.00300428571428571,827,"Ghost","",300,45,30,70,75,70,10,1,0,1,1,1,0,0.5,1,0.5,1,1,2,2,1,1,1,1,1,"0","0","0",27120200
"172","Gimmighoul-Roaming",0.00016,4,"Ghost","",300,45,30,25,75,45,80,1,0,1,1,1,0,0.5,1,0.5,1,1,2,2,1,1,1,1,1,"0","0","0",27120200
"173","Girafarig",0.02868,7280,"Normal","Psychic",455,70,80,65,90,65,85,1,1,1,1,1,1,1,1,2,1,0.5,0,2,1,1,1,1,1,"0","0","0",27120200
"174","Glaceon",0.241405714285714,62015,"Ice","",525,65,60,110,130,95,65,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","0",27120200
"175","Glalie",0.0138942857142857,3766,"Ice","",480,80,80,80,80,80,80,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","1",27120200
"176","Glastrier",0.63954,16406,"Ice","",580,100,145,130,65,110,30,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","0",27120200
"177","Glimmet",0.0106128571428571,2872,"Rock","Poison",350,48,35,42,105,60,60,1,0.5,2,1,1,1,0.25,0.5,0.5,1,2,1,1,0.5,1,2,0.5,4,"0","0","1",27120200
"178","Glimmora",14.6888614285714,4267538,"Rock","Poison",525,83,55,90,130,81,86,1,0.5,2,1,1,1,0.25,0.5,0.5,1,2,1,1,0.5,1,2,0.5,4,"0","1","1",27120200
"179","Gogoat",0.129814285714286,36617,"Grass","",531,123,100,62,97,81,68,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","0","0",27120200
"180","Golduck",0.316258571428571,86051,"Water","",500,80,82,78,95,80,85,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"181","Goodra",0.875654285714286,242635,"Dragon","",600,90,100,70,110,150,80,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"182","Goodra-Hisui",1.70556,43752,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"183","Goomy",0.00067,140,"Dragon","",300,45,50,35,55,75,40,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"184","Gothita",0.000672857142857143,201,"Psychic","",290,45,30,50,55,65,45,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"185","Gothitelle",0.0365442857142857,9668,"Psychic","",490,70,55,95,95,110,65,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"186","Gothorita",0.00114857142857143,308,"Psychic","",390,60,45,70,75,85,55,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"187","Grafaiai",1.07505428571429,315810,"Poison","Normal",485,63,95,65,80,72,110,0.5,1,1,1,1,1,0.5,1,0.5,1,2,0,1,1,1,1,0.5,2,"1","0","0",27120200
"188","Great Tusk",35.5340185714286,8928966,"Ground","Fighting",570,115,131,131,53,53,87,2,1,2,1,0,1,0.5,1,0.5,2,2,1,0.5,2,0.25,1,2,1,"0","1","1",27120200
"189","Greavard",0.00549142857142857,1571,"Ghost","",290,50,61,60,30,55,34,1,0,1,1,1,0,0.5,1,0.5,1,1,2,2,1,1,1,1,1,"0","0","0",27120200
"190","Greedent",0.04786,12917,"Normal","",460,120,95,95,55,75,20,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","0",27120200
"191","Greninja",6.067716,871789,"Water","Dark",530,72,95,67,103,71,122,2,1,0.5,1,2,2,1,0.5,2,0.5,0,0.5,0.5,1,1,0.5,2,1,"1","0","1",27120200
"192","Grimer",0.000644285714285714,180,"Poison","",325,80,80,50,40,50,25,0.5,1,1,1,1,0.5,0.5,1,0.5,1,2,1,1,1,1,1,0.5,2,"0","0","0",27120200
"193","Grimmsnarl",6.05427285714286,1862122,"Dark","Fairy",510,95,120,65,95,75,60,1,1,1,0,1,1,2,1,1,1,0,0.5,0.25,1,1,2,2,1,"0","0","0",27120200
"194","Growlithe",0.00227714285714286,442,"Fire","",350,55,70,45,70,50,60,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","1",27120200
"195","Growlithe-Hisui",0.00051,13,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"196","Grumpig",0.0212342857142857,5691,"Psychic","",470,80,45,65,90,110,80,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"197","Gulpin",0.000624285714285714,148,"Poison","",302,70,43,53,43,53,40,0.5,1,1,1,1,0.5,0.5,1,0.5,1,2,1,1,1,1,1,0.5,2,"0","0","1",27120200
"198","Gumshoos",0.0349414285714286,9308,"Normal","",418,88,110,60,55,60,45,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"1","0","0",27120200
"199","Gyarados",1.42308571428571,392522,"Water","Flying",540,95,125,79,60,100,81,1,1,0.5,1,4,0.5,1,0.5,0.5,1,1,1,1,1,2,0.5,1,0,"0","0","0",27120200
"200","Happiny",0.00139714285714286,298,"Normal","",220,100,5,5,15,65,30,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","0",27120200
"201","Hariyama",0.23746,63594,"Fighting","",474,144,120,60,40,60,50,1,1,1,1,1,1,1,1,0.5,1,2,1,0.5,2,0.5,1,2,1,"0","0","0",27120200
"202","Hatenna",0.00564,1488,"Psychic","",265,42,30,45,56,53,39,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","1","0",27120200
"203","Hatterene",11.3213671428571,2725114,"Psychic","Fairy",510,57,90,95,136,103,29,1,1,1,0,1,0.25,2,1,1,1,0.5,2,1,1,1,2,1,1,"0","1","0",27120200
"204","Hattrem",0.0482728571428571,12096,"Psychic","",370,57,40,65,86,73,49,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","1","0",27120200
"205","Haunter",0.0408328571428571,9726,"Ghost","Poison",405,45,50,45,115,55,95,0.5,0,1,1,1,0,0.25,1,0.25,1,2,2,2,1,1,1,0.5,2,"0","0","1",27120200
"206","Hawlucha",1.12513285714286,299181,"Fighting","Flying",500,78,92,75,74,63,118,0.5,1,1,1,2,0.5,1,1,0.25,2,2,1,0.5,2,1,1,2,0,"1","1","0",27120200
"207","Haxorus",1.08930857142857,271901,"Dragon","",540,76,147,90,60,70,97,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"208","Heatran",1.63293,41889,"Fire","Steel",600,91,90,106,130,106,77,0.25,0.5,2,0.5,1,2,0,1,0.25,0.25,0.5,1,1,0.5,1,0.25,0.25,4,"0","0","1",27120200
"209","Heracross",0.366578571428571,92437,"Bug","Fighting",500,80,125,75,40,95,85,0.5,1,1,1,1,0.5,1,2,0.5,1,2,1,0.5,4,1,1,2,0.5,"0","0","1",27120200
"210","Hippopotas",0.00453,1393,"Ground","",330,68,72,78,38,42,32,2,1,2,1,0,1,0.5,1,1,2,1,1,1,1,0.5,1,1,1,"0","0","1",27120200
"211","Hippowdon",0.588745714285714,173927,"Ground","",525,108,112,118,68,72,47,2,1,2,1,0,1,0.5,1,1,2,1,1,1,1,0.5,1,1,1,"0","0","1",27120200
"212","Honchkrow",0.160917142857143,43499,"Dark","Flying",505,100,125,52,105,52,71,0.5,1,1,1,2,1,1,1,1,2,0,0.5,0.5,1,2,1,2,0,"1","0","0",27120200
"213","Hoopa",0.03902,1001,"Psychic","Ghost",600,80,110,60,150,130,70,1,0,1,1,1,0,0.5,1,1,1,0.5,4,4,1,1,1,1,1,"0","0","0",27120200
"214","Hoopa-Unbound",1.0788,27674,"Psychic","Dark",680,80,160,60,170,130,80,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,1,2,1,"0","0","0",27120200
"215","Hoppip",0.00104857142857143,266,"Grass","Flying",250,35,35,40,35,55,50,0.25,1,0.5,1,1,0.5,2,2,1,4,1,1,1,2,2,1,1,0,"1","0","0",27120200
"216","Houndoom",0.18223,48722,"Dark","Fire",500,75,90,50,110,80,95,0.5,1,2,1,1,2,1,0.5,1,0.5,0,0.5,0.5,1,2,0.5,1,2,"0","0","0",27120200
"217","Houndour",0.00116285714285714,303,"Dark","Fire",330,45,60,30,80,50,65,0.5,1,2,1,1,2,1,0.5,1,0.5,0,0.5,0.5,1,2,0.5,1,2,"0","0","0",27120200
"218","Houndstone",1.649605,165122,"Ghost","",488,72,101,100,50,97,68,1,0,1,1,1,0,0.5,1,0.5,1,1,2,2,1,1,1,1,1,"0","0","0",27120200
"219","Hydreigon",3.69381285714286,846903,"Dark","Dragon",600,92,105,90,125,90,98,0.5,1,0.5,2,0.5,2,1,0.5,2,2,0,0.5,0.5,1,1,1,4,1,"1","0","1",27120200
"220","Hypno",0.0310971428571429,8015,"Psychic","",483,85,73,70,73,115,67,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"221","Igglybuff",0.00127285714285714,321,"Normal","Fairy",210,90,30,15,40,20,15,1,1,1,0,1,1,2,1,0.5,1,1,0,0.5,1,1,2,1,1,"0","0","0",27120200
"222","Impidimp",0.00134428571428571,310,"Dark","Fairy",265,45,45,30,55,40,50,1,1,1,0,1,1,2,1,1,1,0,0.5,0.25,1,1,2,2,1,"0","0","0",27120200
"223","Indeedee",1.24489,282622,"Psychic","Normal",475,60,65,55,105,95,95,1,1,1,1,1,1,1,1,2,1,0.5,0,2,1,1,1,1,1,"0","0","0",27120200
"224","Indeedee-F",0.310695714285714,87300,"Poison","",275,55,47,52,40,40,41,0.5,1,1,1,1,0.5,0.5,1,0.5,1,2,1,1,1,1,1,0.5,2,"0","0","0",27120200
"225","Inteleon",1.33094,67901,"Water","",530,70,85,65,125,65,120,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"226","Iron Bundle",9.53208,482578,"Ice","Water",570,56,80,114,124,60,136,2,1,0.5,1,2,2,1,1,1,0.25,1,1,1,1,2,1,1,1,"1","0","0",27120200
"227","Iron Hands",3.46135428571429,1038169,"Fighting","Electric",570,154,140,108,50,68,50,1,1,1,1,0.5,1,1,1,0.5,1,2,1,0.5,1,0.5,0.5,2,2,"1","0","0",27120200
"228","Iron Jugulis",1.49563,407850,"Dark","Flying",570,94,80,86,122,80,108,0.5,1,1,1,2,1,1,1,1,2,0,0.5,0.5,1,2,1,2,0,"1","0","0",27120200
"229","Iron Leaves",2.1253475,240130,"Grass","Psychic",590,90,130,88,70,108,104,0.5,1,0.5,1,0.5,0.5,2,2,4,2,0.5,2,2,2,1,1,1,0.5,"0","0","0",27120200
"230","Iron Moth",9.03361571428571,2385192,"Fire","Poison",570,80,70,60,140,110,110,0.25,1,2,1,1,0.5,0.5,0.5,0.25,0.5,2,1,1,1,2,0.5,0.25,4,"1","0","1",27120200
"231","Iron Thorns",0.844195714285714,245322,"Rock","Electric",570,100,134,110,70,84,72,2,0.5,2,1,0.5,2,0.5,0.5,1,1,1,1,1,0.25,1,1,1,4,"1","0","1",27120200
"232","Iron Treads",6.61319571428571,1872932,"Ground","Steel",570,90,112,120,72,70,106,1,0.5,2,0.5,0,2,0,2,0.5,1,0.5,1,1,0.5,0.25,0.5,0.5,2,"1","1","1",27120200
"233","Iron Valiant",19.8994585714286,5307708,"Fairy","Fighting",590,74,130,90,120,60,116,1,1,1,0,1,0.5,2,1,0.25,1,2,1,0.25,2,0.5,2,2,1,"0","0","0",27120200
"234","Jigglypuff",0.00538,1392,"Normal","Fairy",270,115,45,20,45,25,20,1,1,1,0,1,1,2,1,0.5,1,1,0,0.5,1,1,2,1,1,"0","0","1",27120200
"235","Jolteon",0.562505714285714,151571,"Electric","",525,65,65,60,110,95,130,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"236","Jumpluff",0.125871428571429,35066,"Grass","Flying",460,75,55,70,55,95,110,0.25,1,0.5,1,1,0.5,2,2,1,4,1,1,1,2,2,1,1,0,"1","0","0",27120200
"237","Kilowattrel",2.24352571428571,687794,"Electric","Flying",490,70,70,60,105,60,125,0.5,1,1,1,1,0.5,1,1,0.5,2,1,1,1,0.5,2,0.5,1,0,"1","0","0",27120200
"238","Kingambit",17.1742114285714,4125380,"Dark","Steel",550,100,135,120,60,85,50,0.5,0.5,1,0.5,1,4,0,2,1,0.5,0,0.5,0.5,0.5,0.5,0.5,1,2,"0","0","1",27120200
"239","Kirlia",0.00236571428571429,689,"Psychic","Fairy",278,38,35,35,65,55,50,1,1,1,0,1,0.25,2,1,1,1,0.5,2,1,1,1,2,1,1,"0","0","0",27120200
"240","Klawf",0.276362857142857,86997,"Rock","",450,70,100,115,35,55,75,2,0.5,2,1,1,2,0.5,0.5,1,1,1,1,1,0.5,1,2,1,2,"0","0","1",27120200
"241","Kleavor",1.84621,47360,"Bug","Rock",500,70,130,95,45,75,85,1,0.5,2,1,1,1,0.5,1,1,1,1,1,1,1,2,2,1,1,"1","1","1",27120200
"242","Klefki",0.497672857142857,138371,"Steel","Fairy",470,57,80,91,80,87,75,0.5,0.5,1,0,1,1,0,2,0.25,0.5,0.5,1,0.5,0.5,0.5,1,0.5,2,"0","0","1",27120200
"243","Komala",0.127405714285714,32421,"Normal","",480,65,115,65,75,95,65,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"1","1","0",27120200
"244","Kricketot",0.000664285714285714,179,"Bug","",194,37,25,41,25,41,25,0.5,1,1,1,1,0.5,1,2,1,1,1,1,1,2,2,1,1,0.5,"0","0","0",27120200
"245","Kricketune",0.0649357142857143,18371,"Bug","",384,77,85,51,55,51,65,0.5,1,1,1,1,0.5,1,2,1,1,1,1,1,2,2,1,1,0.5,"0","0","0",27120200
"246","Krokorok",0.00249142857142857,535,"Ground","Dark",351,60,82,45,45,45,74,2,1,2,1,0,2,0.5,1,2,2,0,0.5,0.5,1,0.5,1,2,1,"0","0","1",27120200
"247","Krookodile",0.345301428571429,91407,"Ground","Dark",519,95,117,80,65,70,92,2,1,2,1,0,2,0.5,1,2,2,0,0.5,0.5,1,0.5,1,2,1,"0","0","1",27120200
"248","Kubfu",0.00043,11,"Fighting","",385,60,90,60,53,50,72,1,1,1,1,1,1,1,1,0.5,1,2,1,0.5,2,0.5,1,2,1,"1","0","0",27120200
"249","Landorus-Therian",3.71681,95346,"Flying","",580,79,100,80,110,90,121,0.5,1,1,1,2,0.5,1,1,0.5,2,1,1,1,1,2,1,1,0,"1","0","0",27120200
"250","Larvesta",0.00177142857142857,506,"Bug","Fire",360,55,85,55,50,55,60,0.25,1,2,1,1,0.5,1,1,0.5,0.5,1,1,1,2,4,0.5,0.5,1,"1","0","0",27120200
"251","Larvitar",0.00210428571428571,399,"Rock","Ground",300,50,64,50,45,50,41,4,0.5,4,1,0,2,0.25,0.5,1,2,1,1,1,0.5,0.5,2,1,2,"0","0","1",27120200
"252","Leafeon",0.218531428571429,59278,"Grass","",525,65,110,130,60,65,95,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","0","0",27120200
"253","Lechonk",0.00919571428571429,2477,"Normal","",254,54,45,40,35,45,35,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","0",27120200
"254","Lilligant",0.210068571428571,56328,"Grass","",480,70,60,75,110,75,90,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","1","0",27120200
"255","Lilligant-Hisui",1.63933,42053,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"256","Litleo",0.000575714285714286,139,"Fire","Normal",369,62,50,58,73,54,72,0.5,1,2,1,1,2,1,0.5,0.5,0.5,1,0,1,1,2,0.5,0.5,2,"0","0","0",27120200
"257","Lokix",3.14679,969782,"Bug","Dark",450,71,102,78,52,55,92,0.5,1,1,1,1,1,1,2,2,1,0,0.5,0.5,2,2,1,2,0.5,"1","0","0",27120200
"258","Lucario",0.838705714285714,215717,"Fighting","Steel",525,70,110,70,115,70,90,0.5,0.5,1,0.5,1,2,0,2,0.25,0.5,1,1,0.5,1,0.25,0.5,1,2,"0","0","0",27120200
"259","Lumineon",0.0285842857142857,7194,"Water","",460,69,69,76,69,86,91,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"260","Lurantis",0.118675714285714,31025,"Grass","",480,70,105,90,80,90,45,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","1","0",27120200
"261","Luvdisc",0.00869,2129,"Water","",330,43,30,55,40,65,97,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"262","Luxio",0.00064,158,"Electric","",363,60,85,49,60,49,60,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"263","Luxray",0.132457142857143,34792,"Electric","",523,80,120,79,95,79,70,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"264","Lycanroc",0.210028571428571,59833,"Rock","",487,75,115,65,55,65,112,2,0.5,2,1,1,2,0.5,0.5,1,1,1,1,1,0.5,1,2,1,2,"0","0","1",27120200
"265","Lycanroc-Dusk",0.415057142857143,108737,"Rock","",487,75,117,65,55,65,110,2,0.5,2,1,1,2,0.5,0.5,1,1,1,1,1,0.5,1,2,1,2,"0","0","1",27120200
"266","Lycanroc-Midnight",0.0607014285714286,15657,"Rock","",487,85,115,75,55,75,82,2,0.5,2,1,1,2,0.5,0.5,1,1,1,1,1,0.5,1,2,1,2,"0","0","1",27120200
"267","Mabosstiff",0.270715714285714,83912,"Dark","",505,80,120,90,60,70,85,1,1,1,1,1,2,1,1,2,1,0,0.5,0.5,1,1,1,2,1,"0","0","0",27120200
"268","Magearna",5.81687,149218,"Steel","Fairy",600,80,95,115,130,115,65,0.5,0.5,1,0,1,1,0,2,0.25,0.5,0.5,1,0.5,0.5,0.5,1,0.5,2,"1","0","1",27120200
"269","Magikarp",0.00575428571428571,1465,"Water","",200,20,10,55,15,20,80,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"0","0","0",27120200
"270","Magnemite",0.00882714285714286,1837,"Electric","Steel",325,25,35,70,95,55,45,0.5,0.5,1,0.5,0.5,2,0,2,0.5,0.5,0.5,1,1,0.25,0.5,0.25,0.5,4,"1","0","0",27120200
"271","Magneton",0.0619185714285714,15689,"Electric","Steel",465,50,60,95,120,70,70,0.5,0.5,1,0.5,0.5,2,0,2,0.5,0.5,0.5,1,1,0.25,0.5,0.25,0.5,4,"1","0","0",27120200
"272","Magnezone",2.06937714285714,552810,"Electric","Steel",535,70,70,115,130,90,60,0.5,0.5,1,0.5,0.5,2,0,2,0.5,0.5,0.5,1,1,0.25,0.5,0.25,0.5,4,"1","0","0",27120200
"273","Makuhita",0.000784285714285714,191,"Fighting","",237,72,60,30,20,30,25,1,1,1,1,1,1,1,1,0.5,1,2,1,0.5,2,0.5,1,2,1,"0","0","0",27120200
"274","Mankey",0.00162857142857143,411,"Fighting","",305,40,80,35,35,45,70,1,1,1,1,1,1,1,1,0.5,1,2,1,0.5,2,0.5,1,2,1,"1","0","0",27120200
"275","Mareanie",0.00190428571428571,466,"Poison","Water",305,50,53,62,43,52,45,1,1,0.5,1,2,0.5,0.5,0.5,0.5,0.5,2,1,1,1,1,0.5,0.5,2,"0","0","1",27120200
"276","Mareep",0.00173571428571429,357,"Electric","",280,55,40,40,65,45,35,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"277","Marill",0.00327428571428571,784,"Water","Fairy",250,70,20,50,20,50,40,2,1,0.5,0,2,0.5,2,0.5,0.5,0.5,1,1,0.5,1,1,1,1,1,"0","0","0",27120200
"278","Maschiff",0.00148857142857143,358,"Dark","",340,60,78,60,40,51,51,1,1,1,1,1,2,1,1,2,1,0,0.5,0.5,1,1,1,2,1,"0","0","0",27120200
"279","Masquerain",1.61310857142857,450576,"Bug","Flying",454,70,60,62,100,82,80,0.25,1,1,1,2,0.25,1,2,0.5,2,1,1,1,2,4,1,1,0,"1","0","0",27120200
"280","Maushold",4.15291,1370458,"Normal","",470,74,75,70,65,75,111,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"1","1","0",27120200
"281","Medicham",0.157981428571429,42527,"Fighting","Psychic",410,60,60,75,60,75,80,1,1,1,1,1,0.5,1,1,1,1,1,2,1,2,0.5,1,2,1,"0","0","0",27120200
"282","Meditite",0.00189285714285714,443,"Fighting","Psychic",280,30,40,55,40,55,60,1,1,1,1,1,0.5,1,1,1,1,1,2,1,2,0.5,1,2,1,"0","0","0",27120200
"283","Meloetta",0.10942,2807,"Normal","Psychic",600,100,77,77,128,128,90,1,1,1,1,1,1,1,1,2,1,0.5,0,2,1,1,1,1,1,"1","0","0",27120200
"284","Meowscarada",14.7114885714286,3760743,"Grass","Dark",530,76,110,70,81,70,123,0.5,1,0.5,1,0.5,2,2,2,4,2,0,0.5,0.5,2,1,1,2,0.5,"1","0","1",27120200
